Word,Count
*,13698
<!--,4172
-->,4172
the,3026
,2228
@generated,2092
end-user-doc,2086
begin-user-doc,2086
of,1444
@see,1252
attribute,1078
value,838
object,820
for,785
The,745
'{@link,609
meta,531
@ordered,448
@return,402
Returns,375
a,313
feature,298
reference,283
class,264
new,262
<li>{@link,242
literal,216
id,215
<p>,189
</p>,189
@model,188
@param,167
be,141
should,138
default,135
here..,134
\clear,\,134
there,134
meaning,134
description,134
isn't,134
If,134
more,134
really,134
cached,125
an,112
Sets,110
result,107
implementation,106
list,102
is,95
model,90
This,84
instance,83
features,81
switch,74
adapter,74
returns,72
Id</em>}',68
will,68
as,66
interpreting,66
are,65
ignore,63
to,62
<em>Add,60
Id</em>',60
that,53
<ul>,52
</ul>,52
#getName(),50
\required="\true"\\,49
following,48
Creates,47
type,47
Create,46
Id</b></em>',44
and,44
package,44
Dao</em>',42
containment,40
<em>File,40
'<em>Add,40
File,40
'<em>Name</em>',40
<em>Name</em>}',40
'<em>File,39
An,39
all,38
null,37
non-null,37
A,37
representation,37
data,36
case,35
inheritance,35
can,35
target,35
when,34
catch,34
null;,33
terminate,33
#doSwitch(org.eclipse.emf.ecore.EObject),33
returning,33
anyway,33
we,33
Type</em>',32
'<em><b>Name</b></em>',32
structural,31
easily,31
cases,31
doSwitch(EObject),31
it's,31
cases;,31
useful,31
number,31
so,31
#getCreated(),30
=,30
'<em><b>Add,30
contents,29
Type</em>}',29
Dao</em>}',28
method,28
Property</em>',27
Id</em>}</li>,26
Function,26
this,26
its,25
TODO,25
#isDeleted(),25
Type</b></em>',25
{@link,25
supported:,24
set,24
SRS,24
Level,24
implemented:,24
Component,24
<em>Created</em>}',24
'<em>Created</em>',24
whether,24
factory,22
<em>User,22
It,21
<em>Connection,21
'<em>User,21
Auto-generated,21
with,20
'<em><b>File,20
'<em>Deleted</em>',20
<em>Deleted</em>}',20
#getModified(),20
<em>Name</em>}</li>,20
Property,20
stub,19
Property</em>}',19
#getConnection(),18
wizard,18
'<em>Generic,18
if,18
NOT,18
'<em><b>Created</b></em>',18
Type,17
each,17
Ending,17
{,17
parent,17
Source,17
To,16
'<em>Connection,16
<em>Modified</em>}',16
'<em>Modified</em>',16
<em>Part,16
'<em>System,16
\dataType="\general.Date"\\,15
#getAddInfo3(),15
},15
'<em><b>Deleted</b></em>',15
#getAddInfo2(),15
#getAddInfo1(),15
\annotation="\teneo.jpa\,14
Dao</b></em>',14
'<em><b>Connection,14
Date</b></em>',14
general.QualityCriteria,14
<em>Object,14
enum,13
<em>System,13
'<em>User</em>',13
#getSnapshot(),13
'<em>Type</em>',13
'<em>Session,13
it,13
<em>Event,13
'<em>Part,12
Documentation,12
<em>Generic,12
Date</em>}',12
Status</em>}',12
Status</em>',12
Used</em>',12
<em>Created</em>}</li>,12
Used</em>}',12
