File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.dbserver\src\com\amenity\dbserver\Activator.java,71,35,29,2,19,0,17,39,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.dbserver\src\com\amenity\dbserver\LocalDB.java,55,33,26,4,12,0,10,28,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.engine\plugin.xml,7,5,0,0,2,0,0,0,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.engine\src\com\amenity\engine\helper\compare\CompareViewObject.java,53,39,28,5,14,0,0,0,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.engine\src\com\amenity\engine\helper\compare\MKSComparator.java,576,360,256,67,82,6,134,633,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.engine\src\com\amenity\engine\helper\gui\ContainerContentProvider.java,64,48,31,10,16,0,0,0,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.engine\src\com\amenity\engine\helper\gui\ContainerLabelProvider.java,18,14,10,3,4,0,0,0,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.engine\src\com\amenity\engine\helper\gui\contentProvider\ComponentObjectTreeContentProvider.java,64,52,31,10,12,0,0,0,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.engine\src\com\amenity\engine\helper\gui\contentProvider\ConnectionTreeContentProvider.java,68,50,31,10,14,0,4,13,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.engine\src\com\amenity\engine\helper\gui\filter\FunctionAssigned.java,13,9,7,1,4,0,0,0,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.engine\src\com\amenity\engine\helper\gui\filter\FunctionNotAssigned.java,15,11,8,3,4,0,0,0,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.engine\src\com\amenity\engine\helper\gui\filter\NoFilter.java,11,8,6,1,3,0,0,0,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.engine\src\com\amenity\engine\helper\gui\labelProvider\GenericNameLabelProvider.java,74,63,37,28,8,0,3,10,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.engine\src\com\amenity\engine\helper\gui\labelProvider\SnapshotStyledLabelProvder.java,113,84,63,13,24,0,5,39,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.engine\src\com\amenity\engine\helper\mks\MksGetFile.java,134,107,86,3,22,0,5,15,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.engine\src\com\amenity\engine\helper\mks\MksLogin.java,102,85,69,9,15,0,2,5,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.engine\src\com\amenity\engine\helper\mks\MksReader.java,687,259,210,41,44,2,384,1214,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.engine\src\com\amenity\engine\helper\status\SessionStatus.java,26,19,15,4,7,0,0,0,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.engine\src\com\amenity\engine\helper\synergy\SynergyGetFile.java,92,52,39,1,22,0,18,53,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.engine\src\com\amenity\engine\helper\synergy\SynergyLogin.java,130,96,71,4,23,0,11,26,0,0
