Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,167,38734,16934,11479,2036,4167,159,17633,63257,170,256
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity,167,38734,16934,11479,2036,4167,159,17633,63257,170,256
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.dbserver,2,126,68,55,6,31,0,27,67,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.dbserver\src,2,126,68,55,6,31,0,27,67,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.dbserver\src\com,2,126,68,55,6,31,0,27,67,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.dbserver\src\com\amenity,2,126,68,55,6,31,0,27,67,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.dbserver\src\com\amenity\dbserver,2,126,68,55,6,31,0,27,67,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.engine,20,2491,1544,1136,231,358,8,589,2073,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.engine\src,19,2484,1539,1136,231,356,8,589,2073,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.engine\src\com,19,2484,1539,1136,231,356,8,589,2073,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.engine\src\com\amenity,19,2484,1539,1136,231,356,8,589,2073,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.engine\src\com\amenity\engine,19,2484,1539,1136,231,356,8,589,2073,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.engine\src\com\amenity\engine\helper,19,2484,1539,1136,231,356,8,589,2073,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.engine\src\com\amenity\engine\helper\compare,2,629,399,284,72,96,6,134,633,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.engine\src\com\amenity\engine\helper\gui,9,440,339,224,79,89,0,12,62,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.engine\src\com\amenity\engine\helper\gui\contentProvider,2,132,102,62,20,26,0,4,13,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.engine\src\com\amenity\engine\helper\gui\filter,3,39,28,21,5,11,0,0,0,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.engine\src\com\amenity\engine\helper\gui\labelProvider,2,187,147,100,41,32,0,8,49,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.engine\src\com\amenity\engine\helper\mks,3,923,451,365,53,81,2,391,1234,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.engine\src\com\amenity\engine\helper\status,1,26,19,15,4,7,0,0,0,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.engine\src\com\amenity\engine\helper\synergy,4,466,331,248,23,83,0,52,144,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model,80,27826,9311,5999,1311,2598,125,15917,57146,150,150
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\bin,1,24,24,0,0,0,0,0,0,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\model,2,1080,1078,0,0,2,48,0,48,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src,76,26705,8197,5999,1311,2591,77,15917,57098,150,150
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\dao,32,5390,1919,1484,278,634,33,2837,10093,64,64
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\dao\impl,15,2861,1404,1073,189,369,16,1088,3059,30,30
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\dao\util,2,711,284,196,89,49,2,378,2160,4,4
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\general,43,21291,6254,4515,1033,1957,44,13080,47005,86,86
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\general\impl,18,10329,4643,3227,868,955,18,4731,13507,36,36
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\general\util,2,819,323,220,95,55,2,441,2514,4,4
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.workbench,65,8291,6011,4289,488,1180,26,1100,3971,20,106
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.workbench\META-INF,1,31,28,0,0,3,0,0,0,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.workbench\bin,1,28,28,0,0,0,0,0,0,0,0
